2022-03-01 19:23:21.096;2022-03-01 19:24:35.229; Duration: 0:01:14;SES1S2-TASK [Init AIDE Enablement]
2022-03-01 03:38:03.992;2022-03-01 03:39:46.116; Duration: 0:01:43;stackAPI-Ansible_kvm_provider_access_ASTL53.9f88a-  TASK [Check host status]
2022-03-01 03:40:43.486;2022-03-01 03:41:35.218; Duration: 0:00:52;stackAPI-Ansible_ASTL5HOST3.67ba7-  TASK [Upload /resources/images/MCP-22.0.0.0.4107.qcow2 to /var/lib/libvirt/images/tmp5201. This may take some time.]
2022-03-01 03:41:54.374;2022-03-01 03:42:30.464; Duration: 0:00:36;stackAPI-Ansible_ASTL5HOST3.67ba7-  TASK [Copy /var/lib/libvirt/images/tmp5201/MCP-22.0.0.0.4107.qcow2 to /var/lib/libvirt/images/ASTL5HOST3-EM1S1]
2022-03-01 03:43:09.097;2022-03-01 03:43:50.108; Duration: 0:00:41;stackAPI-Ansible_ASTL5HOST3.67ba7-  TASK [Copy /var/lib/libvirt/images/tmp5201/MCP-22.0.0.0.4107.qcow2 to /var/lib/libvirt/images/ASTL5HOST3-SES1S1]
2022-03-01 03:44:22.526;2022-03-01 03:44:54.729; Duration: 0:00:32;stackAPI-Ansible_ASTL5HOST3.67ba7-  TASK [Copy /var/lib/libvirt/images/tmp5201/MCP-22.0.0.0.4107.qcow2 to /var/lib/libvirt/images/ASTL5HOST3-PA1S1]
2022-03-01 03:46:25.343;2022-03-01 03:47:18.087; Duration: 0:00:53;stackAPI-Ansible_ASTL5HOST4.cb7f9-  TASK [Upload /resources/images/MCP-22.0.0.0.4107.qcow2 to /var/lib/libvirt/images/tmp3664. This may take some time.]
2022-03-01 03:47:37.411;2022-03-01 03:48:14.579; Duration: 0:00:37;stackAPI-Ansible_ASTL5HOST4.cb7f9-  TASK [Copy /var/lib/libvirt/images/tmp3664/MCP-22.0.0.0.4107.qcow2 to /var/lib/libvirt/images/ASTL5HOST4-EM1S2]
2022-03-01 03:48:55.201;2022-03-01 03:49:36.212; Duration: 0:00:41;stackAPI-Ansible_ASTL5HOST4.cb7f9-  TASK [Copy /var/lib/libvirt/images/tmp3664/MCP-22.0.0.0.4107.qcow2 to /var/lib/libvirt/images/ASTL5HOST4-SES1S2]
2022-03-01 03:50:06.072;2022-03-01 03:50:46.526; Duration: 0:00:40;stackAPI-Ansible_ASTL5HOST4.cb7f9-  TASK [Copy /var/lib/libvirt/images/tmp3664/MCP-22.0.0.0.4107.qcow2 to /var/lib/libvirt/images/ASTL5HOST4-PA1S2]
2022-03-01 03:51:22.322;2022-03-01 03:53:11.864; Duration: 0:01:49;stackAPI-Ansible_AsVnf.93e56-  TASK [Wait for system to become reachable]
2022-03-01 03:55:14.666;2022-03-01 04:05:19.943; Duration: 0:10:05;stackAPI-Ansible_AsVnf.93e56-  TASK [Check if 'PLAY RECAP' in as-commissioning.log - 2 mins/try]
2022-03-01 04:05:33.266;2022-03-01 04:09:44.722; Duration: 0:04:11;stackAPI-Ansible_AsVnf.93e56-  TASK [Check if 'PLAY RECAP' in as-commissioning.log - 2 mins/try]
2022-03-01 04:09:57.183;2022-03-01 04:14:08.714; Duration: 0:04:11;stackAPI-Ansible_AsVnf.93e56-  TASK [Check if 'PLAY RECAP' in as-commissioning.log - 2 mins/try]
2022-03-01 04:14:21.865;2022-03-01 04:18:33.580; Duration: 0:04:12;stackAPI-Ansible_AsVnf.93e56-  TASK [Check if 'PLAY RECAP' in as-commissioning.log - 2 mins/try]
2022-03-01 04:18:46.442;2022-03-01 04:22:58.472; Duration: 0:04:12;stackAPI-Ansible_AsVnf.93e56-  TASK [Check if 'PLAY RECAP' in as-commissioning.log - 2 mins/try]
2022-03-01 04:23:16.871;2022-03-01 04:25:26.046; Duration: 0:02:10;stackAPI-Ansible_AsVnf.93e56-  TASK [Check if 'PLAY RECAP' in as-commissioning.log - 2 mins/try]
2022-03-01 04:25:44.746;2022-03-01 04:27:54.686; Duration: 0:02:10;stackAPI-Ansible_AsVnf.93e56-  TASK [Check if 'PLAY RECAP' in as-commissioning.log - 2 mins/try]
2022-03-01 04:28:10.809;2022-03-01 04:30:16.287; Duration: 0:02:06;stackAPI-Ansible_AsVnf.93e56-  TASK [Check if 'PLAY RECAP' in as-commissioning.log - 2 mins/try]
2022-03-01 04:30:27.602;2022-03-01 04:32:33.588; Duration: 0:02:06;stackAPI-Ansible_AsVnf.93e56-  TASK [Check if 'PLAY RECAP' in as-commissioning.log - 2 mins/try]
2022-03-01 04:32:39.736;2022-03-01 04:33:15.913; Duration: 0:00:36;stackAPI-Ansible_AsVnf.93e56-  TASK [Check if 'PLAY RECAP' in as-commissioning.log - 2 mins/try]
2022-03-01 04:33:35.574;2022-03-01 09:01:56.830; Duration: 4:28:21;stackAPI-Ansible_AsVnf.93e56-  TASK [Delete OMI user]
